Ticker,MaxDrawdown,DebtToEquity,ReturnSD,PriceChange12M,RSI,EarningsGrowth,ROE,ROA,OperatingMargin,EBITDAMargin,LogMarketCap,RevenueGrowth,PE,Sector,MaxDrawdown_ZScore,DebtToEquity_ZScore,ReturnSD_ZScore,PriceChange12M_ZScore,RSI_ZScore,EarningsGrowth_ZScore,ROE_ZScore,ROA_ZScore,OperatingMargin_ZScore,EBITDAMargin_ZScore,LogMarketCap_ZScore,RevenueGrowth_ZScore,PE_ZScore,Risk_Score,Momentum_Score,Quality_Score,Size_Score,Growth_Score
TIGO,0.11052107499485823,375.071,0.022418496253880666,1.2860203,54.44726914144765,-0.43,0.37443,0.057579998,0.21813999,0.43287998,23.38361890829936,0.451,11.582089,communication-services,-1.2366227542072936,1.6527803725550863,-0.19012613898165792,1.4805422075210815,0.6034499562387224,-0.6866800528948758,0.7657581057486783,0.27511210403280945,0.15368657267416092,1.4723019120017367,-0.24497083969205152,-0.03813116544910733,-0.8619335973101628,0.07534382645537824,0.4657707036216427,0.6667146736143463,-0.24497083969205152,-0.03813116544910733
VSNT,0.42212853961829594,36.248,0.029158790081478935,-0.054983556,55.4210418532186,-0.218,0.0892,,0.262,0.33513,22.532246869441117,-0.011,7.19,communication-services,0.4200874549785049,-0.5697768132807487,0.48874528583913296,-0.33890286270924624,0.6820539624651538,-0.4862593442268217,0.21393859973555818,1.1419342889516378e-16,0.15460738856748676,0.8291958295665911,-0.6993698138210964,-0.20646592409564438,-1.0763919371702313,0.11301864251229639,-0.04770274815697138,0.29943545446740905,-0.6993698138210964,-0.20646592409564438
CMCSA,0.2571984805751276,106.858,0.01760351092011765,-0.2270233,33.258593191818875,-0.326,0.20918,0.04535,0.13145,0.28235,25.210117814338624,0.053,4.876471,communication-services,-0.4567892044065075,-0.10660057408840248,-0.675083625647732,-0.5723226718350506,-1.1069233127405185,-0.5883604599633775,0.4460576066123038,0.07384293543886529,0.15186656577985655,0.4819513694559397,0.7298782172080354,-0.1831468233307561,-1.1893576782010082,-0.4128244680475473,-0.7558688148463154,0.2884296193217413,0.7298782172080354,-0.1831468233307561
SPOT,0.4680371349237977,5.943,0.028649650984781602,-0.25940478,45.15480866552323,2.224,0.37987998,0.116409995,0.15773,0.13954,25.351497935338678,0.082,33.222965,communication-services,0.6641677392037736,-0.7685667287137475,0.43746562461848126,-0.6162571645579127,-0.14664769209242307,1.8223603282608583,0.7763018959228584,1.2432778048427546,0.15241829939041895,-0.45760871672068276,0.8053363941418464,-0.17258035579666614,0.19475408367207564,0.11102221170283577,0.35315182387017413,0.4285973208588373,0.8053363941418464,-0.17258035579666614
NFLX,0.433512774776832,53.788,0.020854068599360384,-0.29432803,23.37979384028536,0.864,0.48494998,0.15402001,0.32303002,0.30472,26.615497954595714,0.162,27.748386,communication-services,0.480613535872332,-0.45472071307633355,-0.34769274631629166,-0.6636402759223003,-1.90435088115677,0.5366425745412658,0.9795753085961344,1.8622261031054177,0.15588867902742953,0.6291256508632015,1.4799654468175156,-0.14343147984055582,-0.07256042743477899,-0.10726664117343106,-0.6771161941792682,0.9067039353980457,1.4799654468175156,-0.14343147984055582
RDDT,0.5499242725287113,0.669,0.041266430632254616,0.5698867,54.01767370506346,6.75,0.26221,0.13109,0.27571,0.2576,24.246137689333768,0.691,50.285713,communication-services,1.0995336154192394,-0.8031622744650637,1.7082071375269683,0.5089076053411624,0.5687725392725216,6.10115338218356,0.548651963460727,1.4848667569672722,0.1548952221976546,0.31911884979435157,0.21537743507003013,0.04931546241922358,1.0278994524318397,0.6681928261603813,2.392944508932415,0.6268831981050014,0.21537743507003013,0.04931546241922358
TKO,0.1828015176100971,58.229,0.019947513478795722,0.2859919,65.37663719889659,0.63,0.06736,0.03852,0.21215001,0.28448,23.456455152308138,0.259,76.275085,communication-services,-0.8523323863566911,-0.4255893481386022,-0.4389995026859335,0.12372527196237999,1.485680588144901,0.31542349044539475,0.17168589836709575,-0.0385584256649255,0.1535608164605918,0.4959648347843917,-0.20609627834119243,-0.10808846774377208,2.2969169001943386,-0.5723070790604089,0.6416097835175586,0.19566328098678842,-0.20609627834119243,-0.10808846774377208
DIS,0.24969519982776095,41.069,0.015293212848691229,-0.09845066,47.50181066910876,-0.298,0.1101,0.04449,0.15512,0.20275,25.898448848475084,0.065,16.2928,communication-services,-0.496681579358345,-0.5381527848266161,-0.9077730875059309,-0.3978780906596638,0.042804895634925726,-0.5618898003279742,0.254372732455378,0.05968990900412737,0.15236350392909598,-0.04174433014254168,1.0972580482302643,-0.17877449193733957,-0.6319174795537689,-0.6475358172302973,-0.30565433178423745,0.10617045381151491,1.0972580482302643,-0.17877449193733957
EA,0.07457748404084392,27.41,0.013536204650130815,0.3827803,42.64588840020383,0.853,0.1349,0.05696,0.24009001,0.19718,24.646853513360412,0.119,57.470085,communication-services,-1.4277225218597625,-0.6277509189595754,-1.084736093820974,0.2550456827483435,-0.3491705003133767,0.5262433868273573,0.3023519904195661,0.2649087923078272,0.15414740082433281,-0.07838987093102852,0.42924969190286183,-0.15909900066696514,1.378700288220267,-1.0467365115467706,0.14403952308744136,0.16075457815517438,0.42924969190286183,-0.15909900066696514
TMUS,0.2851244744016008,218.569,0.0155595164650499,-0.2284621,44.595753356479406,-0.12,0.18024999,0.05865,0.2401,0.3743,26.036204977946745,0.106,19.928799,communication-services,-0.30831625582073774,0.6261834629660682,-0.8809514206622528,-0.5742748046013618,-0.19177525262251988,-0.39361203550290985,0.3900882351326045,0.2927211349528355,0.15414761055868476,1.0868988515926281,1.170782008443777,-0.16383569300983306,-0.454377746348711,-0.18769473783897414,-0.38655403090893053,0.48096395805918823,1.170782008443777,-0.16383569300983306
NYT,0.13510363838411807,2.387,0.01806301954721336,0.31970525,45.923000178998365,0.8,0.19677,0.10448,0.1313,0.18937,23.222543227224566,0.121,32.27897,communication-services,-1.1059256806177395,-0.791892811514597,-0.6288026645542207,0.16946681713691494,-0.08463842670802317,0.47613820966034376,0.4220486311552242,1.046945787864509,0.1518634166154127,-0.12977257713535179,-0.3309410394365499,-0.15837027876806237,0.14866039100414347,-0.8422070522288525,0.18698886669641182,0.3727713146249485,-0.3309410394365499,-0.15837027876806237
GOOG,0.20750235949567403,20.026,0.017895768961643417,1.2094853,63.9685247807012,0.82,0.38884997,0.14641,0.36121,0.38181,29.14847885341426,0.218,28.735113,communication-services,-0.7210064664953942,-0.6761873068677511,-0.6456478713407677,1.3767011724434928,1.3720162022472393,0.49504582368563194,0.7936556646384304,1.7369881115953945,0.1566902459306487,1.1363078302859018,2.831881964366262,-0.12302726667127863,-0.024380202873048703,-0.6809472149013044,1.081254399458788,0.9559104631125938,2.831881964366262,-0.12302726667127863
