Sector,Ticker,Risk_Score,Momentum_Score,Quality_Score,Size_Score,Growth_Score,PE,PE_ZScore,composite_z_score
consumer-cyclical,NCLH,0.76908054451753,-0.5302133936142976,-0.0107884752769912,-0.4424320113596084,-0.0379538656203357,11.230304,-0.3976575152668165,-0.12636856822051334
consumer-cyclical,DKS,-0.5172644513857777,-0.7287474543408806,-0.0695442023757633,0.1876222987641141,2.8647168899545967,19.454817,-0.2607611003077469,1.4144611722606566
consumer-cyclical,TXRH,-0.6915992717313034,0.5052404423091647,-0.0027525369499472,-0.0399725550128952,0.1369716789717505,32.765553,-0.0392048769949956,0.030329060016357885
consumer-cyclical,VGNT,0.9355508026620344,0.0204435982577982,-0.0871993680423326,-1.3708106066253676,-0.0543531354258438,6.2651515,-0.480302114038204,-0.4019705408349044
consumer-cyclical,BIRK,0.2885698914143125,-1.0753531278255914,0.1642431122588626,-0.5975246096610264,-0.141815907721887,18.526318,-0.276215897983072,-0.24594414769397324
consumer-cyclical,NVR,-0.4383750605815583,-0.6351724710475258,0.3488783552486048,0.1326728652581104,-1.1585706356633887,16.339846,-0.3126095638704487,-0.5321732237554762
consumer-cyclical,DDS,-0.2858919494309757,0.3684902669872867,0.1145152500003013,6.190822742427539e-15,-0.4151370711470219,14.325299,-0.346141550757277,-0.19728461312640302
consumer-cyclical,THO,-0.0370410331938869,-0.3868869783072437,-0.403988393381575,-1.1214665745022856,-0.7759210068682,15.362705,-0.3288740040639922,-0.7852413298821571
consumer-cyclical,VFC,0.2530469936274863,-0.2163342498341112,-0.0272433454793954,-0.8022513892247252,-0.8469845093587349,20.753622,-0.2391425864539887,-0.6576036970490275
consumer-cyclical,HRB,0.3968645681773437,0.1967844250999632,0.6831349066486343,-0.8097799159366524,-0.2730100661659518,7.9190645,-0.4527728536000238,-0.2730715659854261
consumer-cyclical,ORLY,-0.6211762659352,-0.2982432427309285,0.3631135834072716,1.429420939597165,-0.1199502146478762,27.662539,-0.1241441703107143,0.3763835896604353
consumer-cyclical,DPZ,-0.1992574017760205,-0.2081842240843376,1.0486412970939347,-0.1803622440370057,-0.3276742988509787,19.956347,-0.2524131702850911,-0.10942105063231891
consumer-cyclical,TJX,-1.133913176026944,-0.150041719115538,0.3058359014683699,2.186183550148729,-0.0598195586943465,30.97244,-0.0690511112117209,0.6052636201231728
consumer-cyclical,VIK,-0.361129795694398,1.1726895458147508,0.8010492895522305,1.0384276149422007,0.3938935725913772,38.79182,0.0611018947112619,0.6176095893344236
consumer-cyclical,BKNG,-0.1614210588299125,0.8444674935650783,0.845549290219255,2.054738608663462,0.3228300701008422,25.515873,-0.1598752682510453,0.8995844610484082
consumer-cyclical,OLLI,0.3460372994325045,-0.8296627661130579,-0.0912065194700533,-1.0087980295979095,0.2135016047307882,18.007353,-0.2848540323004758,-0.2161149535518029
consumer-cyclical,DASH,0.3815501913233306,-0.0505385419741755,-0.3055978173410222,1.5677357282339808,1.2466556024777982,93.40953,0.9702096670832095,1.076876292348635
consumer-cyclical,TOL,-0.4714438417164167,-0.2224891033831771,-0.0004771541562368,6.190822742427539e-15,-0.9781786678027998,11.406568,-0.3947236139298807,-0.5154320462707214
consumer-cyclical,BWA,-0.348472935074448,0.2726150836750342,-0.1313406324678568,6.190822742427539e-15,-0.5353983830540812,37.494118,0.0395017402115104,-0.2918859517695997
consumer-cyclical,ONON,0.0926434652390682,-0.3184542065198545,0.054679781044605,-0.1370401231405325,0.2299008745362963,40.26667,0.085650664663037,0.07468454572224491
consumer-cyclical,BLD,-1.9009959055352177,-0.2376618259483933,0.0719510958802226,-0.3073068239796017,0.3774943027858691,19.917416,-0.2530611739213881,-0.01141443365588124
consumer-cyclical,WEN,1.975307904258294,-0.587108304446772,0.1948658517011438,6.190822742427539e-15,-0.3823385315360057,9.558442,-0.4254855354920018,-0.07144920005288226
consumer-cyclical,BYD,-0.9334870215128582,-0.2008299578312996,0.1820597432619431,-0.7209820672779365,-0.5627304993965947,3.7737353,-0.5217715537425305,-0.5335724713235311
consumer-cyclical,DUOL,1.492307077116897,-0.6284079057017044,-0.0003843087507649,-0.7068373271973285,0.8858716667566201,15.284581,-0.3301743723073474,0.28813191073950256
consumer-cyclical,PAG,-0.6135438214624946,0.8816941212639716,-0.3122221201708047,0.0080828753226941,0.0440424834072046,15.792877,-0.321713822711519,-0.022878612586668852
consumer-cyclical,WHR,0.7312655165957335,-0.7496137856775377,-0.419571668062799,6.190822742427539e-15,-1.0875071331728536,12.711864,-0.3729970578577566,-0.5662808611899203
consumer-cyclical,BFAM,0.5133586442563393,-0.3599376844138571,-0.1098115392470478,-1.1173327912723074,-0.2074129869439194,23.663492,-0.1907080139757218,-0.43699061082481205
